7	3	3
3
4	20	100	10
600
8	1	36	7	(30,18),(57,9),(84,13),(88,18),(95,7),(118,10),(138,15)
8	2	227	5	(194,7),(201,13),(330,14),(341,15),(521,13)
8	3	256	8	(98,18),(220,5),(246,16),(272,12),(410,20),(508,16),(540,16),(794,5)
11	4	126	8	(101,18),(175,20),(224,17),(226,10),(325,12),(366,18),(377,16),(415,5)
12	5	33	1	(18,20)
18	6	25	8	(3,18),(8,11),(9,12),(24,11),(44,9),(49,17),(66,18),(69,15)
23	7	214	7	(61,11),(241,16),(301,14),(477,12),(672,13),(799,15),(970,13)
27	8	226	5	(48,16),(207,14),(230,9),(383,5),(434,12)
32	9	194	8	(93,17),(231,20),(330,19),(363,9),(389,20),(570,17),(722,9),(749,14)
39	10	134	1	(25,9)
41	11	26	4	(12,17),(27,13),(33,7),(38,17)
41	12	20	9	(16,17),(16,7),(32,19),(34,16),(46,12),(66,18),(69,13),(79,11),(93,10)
45	13	15	2	(5,15),(13,20)
51	14	256	4	(37,13),(188,14),(420,20),(501,7)
54	15	180	8	(37,15),(149,17),(305,6),(420,10),(457,15),(525,17),(527,12),(610,13)
60	16	225	2	(40,11),(155,5)
67	17	134	8	(54,8),(102,10),(106,18),(139,13),(211,14),(266,9),(276,15),(344,16)
72	18	113	3	(83,6),(118,10),(201,5)
74	19	175	9	(14,14),(36,15),(159,10),(260,6),(416,20),(542,16),(569,16),(715,5),(781,15)
78	20	29	7	(24,14),(35,5),(36,9),(65,19),(74,20),(79,10),(79,16)
83	21	62	3	(1,6),(35,20),(94,7)
83	22	255	10	(85,15),(235,16),(426,10),(526,20),(679,16),(789,20),(933,8),(994,14),(1237,14),(1281,5)
83	23	192	4	(43,5),(219,14),(335,7),(412,8)
88	24	148	0	
95	25	99	0	
100	26	293	8	(291,11),(520,20),(772,6),(935,17),(1144,6),(1250,6),(1514,20),(1577,14)
102	27	238	8	(171,11),(359,16),(517,16),(726,18),(887,11),(1036,5),(1121,19),(1347,15)
105	28	61	2	(52,13),(90,16)
111	29	211	4	(10,18),(22,14),(55,10),(259,8)
114	30	193	10	(101,8),(267,13),(423,20),(600,17),(737,9),(800,9),(911,16),(999,10),(1032,11),(1064,18)
116	31	98	2	(19,18),(96,11)
120	32	213	6	(49,5),(179,20),(322,16),(325,16),(482,6),(512,19)
123	33	132	6	(86,16),(188,19),(308,12),(436,19),(561,11),(674,11)
128	34	174	3	(141,12),(299,6),(381,19)
132	35	234	4	(96,19),(235,14),(383,16),(399,15)
138	36	165	5	(75,5),(78,17),(79,14),(210,10),(229,15)
142	37	229	4	(76,20),(231,17),(341,16),(376,8)
145	38	242	3	(205,9),(251,5),(456,20)
152	39	262	3	(172,19),(417,13),(669,8)
153	40	136	10	(40,20),(50,15),(159,13),(165,13),(284,9),(398,15),(444,11),(463,16),(481,18),(578,8)
154	41	63	7	(11,9),(12,5),(57,15),(87,10),(123,8),(161,19),(177,5)
161	42	292	3	(9,7),(300,8),(376,13)
165	43	164	9	(84,6),(151,12),(247,19),(357,19),(478,5),(611,20),(761,20),(904,15),(983,5)
