TT   PID    AT    CT  IO_D    WT    RT   TRT
8298  2352  7417  0     0     881   758   881   
8301  570   2091  147   20    6210  6208  6210  
8319  4421  7621  0     0     698   643   698   
8328  325   1174  23    22    7154  7152  7154  
8331  228   815   179   21    7516  7514  7516  
8334  283   1023  121   25    7311  7309  7311  
8337  189   686   203   23    7651  7649  7651  
8339  504   1833  156   40    6506  6450  6506  
8340  434   1592  272   8     6748  6746  6748  
8340  3273  7656  0     0     684   664   684   
8343  132   499   155   9     7844  7842  7844  
8346  289   1052  0     0     7294  7292  7294  
8360  3159  7543  0     0     817   627   817   
8362  4463  7763  0     0     599   578   599   
8368  4082  7413  0     0     955   790   955   
8369  549   2010  177   8     6359  6268  6359  
8370  598   2179  149   11    6191  6107  6191  
8377  393   1435  171   24    6942  6936  6942  
8377  4127  7550  0     0     827   820   827   
8382  5102  7786  0     0     596   459   596   
8407  5186  7786  0     0     621   577   621   
8409  338   1235  183   26    7174  7143  7174  
8411  3317  7863  0     0     548   520   548   
8422  360   1313  256   19    7109  7034  7109  
8428  476   1730  0     0     6698  6610  6698  
8451  3553  7627  0     0     824   613   824   
8462  4410  7827  0     0     635   581   635   
8463  3361  7951  0     0     512   461   512   
8468  437   1598  166   24    6870  6825  6870  
8471  217   801   263   12    7670  7668  7670  
8498  290   1058  212   25    7440  7352  7440  
8501  88    335   20    48    8166  8164  8166  
8516  3252  7718  0     0     798   651   798   
8531  5120  7709  0     0     822   670   822   
8545  465   1691  236   15    6854  6738  6854  
8552  6063  7735  0     0     817   626   817   
8554  466   1697  271   22    6857  6855  6857  
8557  498   1806  235   33    6751  6749  6751  
8571  4519  7832  0     0     739   631   739   
8572  272   972   296   27    7600  7530  7600  
8576  4276  7627  0     0     949   751   949   
8585  6083  7881  0     0     704   636   704   
8588  4359  7643  0     0     945   934   945   
8601  4414  7867  0     0     734   722   734   
8608  7058  7840  0     0     768   612   768   
8629  540   1969  202   31    6660  6604  6660  
8632  389   1420  279   19    7212  7138  7212  
8635  503   1830  176   35    6805  6803  6805  
8638  3218  7597  0     0     1041  1039  1041  
8651  368   1341  21    32    7310  7298  7310  
8666  4566  7979  0     0     687   485   687   
8669  29    111   211   42    8558  8435  8558  
8675  371   1352  184   26    7323  7278  7323  
8677  523   1911  36    23    6766  6759  6766  
8689  4533  8004  0     0     685   674   685   
8689  390   1422  262   26    7267  7254  7267  
8699  8025  7998  0     0     701   611   701   
8705  3129  8162  0     0     543   538   543   
8706  4222  8218  0     0     488   488   488   
8716  459   1679  285   10    7037  7011  7037  
8750  5082  8203  0     0     547   383   547   
8755  286   1041  210   25    7714  7676  7714  
8758  542   1977  186   22    6781  6713  6781  
8761  500   1817  240   24    6944  6835  6944  
8762  5210  7883  0     0     879   719   879   
8764  484   1766  212   32    6998  6996  6998  
8767  363   1324  216   28    7443  7441  7443  
8770  563   2061  99    10    6709  6707  6709  
8776  4383  7945  0     0     831   608   831   
8784  340   1243  288   17    7541  7464  7541  
8790  4535  7942  0     0     848   630   848   
8812  4461  7893  0     0     919   639   919   
8815  4495  8140  0     0     675   623   675   
8818  343   1257  104   40    7561  7514  7561  
8821  199   728   273   21    8093  8091  8093  
8835  5047  8194  0     0     641   619   641   
8855  4273  8320  0     0     535   0     535   
8872  7069  8220  0     0     652   596   652   
8876  308   1099  225   27    7777  7660  7777  
8897  4252  8369  0     0     528   382   528   
8911  349   1280  271   38    7631  7597  7631  
8913  3352  8175  0     0     738   616   738   
8934  5463  8341  0     0     593   573   593   
8944  554   2027  213   40    6917  6729  6917  
8951  5127  8370  0     0     581   575   581   
8952  407   1487  92    11    7465  7386  7465  
8966  4159  8170  0     0     796   607   796   
8978  6186  8363  0     0     615   572   615   
8995  4553  8240  0     0     755   545   755   
8997  318   1143  202   31    7854  7836  7854  
9007  6120  8379  0     0     628   477   628   
9019  7083  8517  0     0     502   435   502   
9021  5566  8464  0     0     557   356   557   
9032  5359  8577  0     0     455   445   455   
9035  4317  8383  0     0     652   625   652   
9051  5410  8408  0     0     643   590   643   
9053  5204  7410  0     0     1643  1412  1643  
9054  444   1609  185   33    7445  7411  7445  
9056  559   2046  122   14    7010  7008  7010  
9057  396   1446  89    37    7611  7587  7611  
9059  223   806   0     0     8253  8251  8253  
9062  247   870   213   35    8192  8190  8192  
9062  4129  8700  0     0     362   358   362   
0     5222  8706  0     0     0     357   0     
9065  5191  8090  0     0     975   973   975   
9068  2441  8017  0     0     1051  1049  1051  
9071  534   1951  281   19    7120  7118  7120  
9073  516   1886  181   32    7187  7026  7187  
9076  220   803   292   23    8273  8271  8273  
9077  453   1650  221   24    7427  7422  7427  
9077  126   476   78    39    8601  8588  8601  
9083  582   2126  36    19    6957  6952  6957  
9095  515   1881  52    24    7214  7203  7214  
9122  377   1365  55    24    7757  7731  7757  
9125  496   1798  164   19    7327  7325  7327  
9128  57    234   288   8     8894  8892  8894  
9146  6082  8586  0     0     560   397   560   
9149  409   1497  69    36    7652  7632  7652  
9150  5276  8378  0     0     772   575   772   
9151  8058  8452  0     0     699   544   699   
9152  525   1914  172   15    7238  7236  7238  
9155  5159  8777  0     0     378   190   378   
9175  6463  8914  0     0     261   0     261   
9177  3433  8123  0     0     1054  954   1054  
9190  385   1405  166   37    7785  7748  7785  
9193  336   1226  61    24    7967  7965  7967  
9196  68    272   89    50    8924  8922  8924  
9212  543   1982  213   14    7230  7169  7230  
9218  7186  8935  0     0     283   0     283   
9220  499   1812  288   23    7408  7407  7408  
9234  492   1790  164   38    7444  7407  7444  
9237  489   1783  195   27    7454  7452  7454  
9241  9025  8609  0     0     632   543   632   
9269  5535  8572  0     0     697   480   697   
9270  274   979   178   44    8291  8259  8291  
9273  4361  8412  0     0     861   859   861   
9281  5414  8589  0     0     692   681   692   
9290  4352  8791  0     0     499   378   499   
9292  5252  8751  0     0     541   396   541   
9298  522   1909  256   25    7389  7146  7389  
9303  6047  8813  0     0     490   469   490   
9315  5461  8532  0     0     783   504   783   
9331  596   2166  81    23    7165  4856  7165  
9334  5273  8836  0     0     498   480   498   
9354  234   832   293   12    8522  8346  8522  
9359  8069  8816  0     0     543   488   543   
9363  511   1864  0     0     7499  7410  7499  
9366  586   2137  217   14    7229  7227  7229  
9369  380   1379  288   12    7990  7988  7990  
9372  271   966   202   44    8406  8404  8406  
9372  6210  8602  0     0     770   611   770   
9408  6159  8967  0     0     441   254   441   
9412  6410  8998  0     0     414   362   414   
9427  7463  9156  0     0     271   253   271   
9451  5553  8785  0     0     666   457   666   
9469  8186  9176  0     0     293   0     293   
9478  576   2104  296   32    7374  7195  7374  
9485  7120  8856  0     0     629   479   629   
9491  6566  8820  0     0     671   471   671   
9494  7082  8983  0     0     511   349   511   
9513  560   2049  261   35    7464  7364  7464  
9540  10025 9152  0     0     388   300   388   
9543  347   1267  268   28    8276  8106  8276  
9546  575   2103  187   27    7443  7441  7443  
9549  255   898   285   39    8651  8649  8651  
9549  190   689   0     0     8860  8751  8860  
9552  469   1701  230   20    7851  7849  7851  
9555  6359  9022  0     0     533   531   533   
9558  599   2184  152   20    7374  7372  7374  
9561  5129  9058  0     0     503   501   503   
9564  480   1747  142   51    7817  7815  7817  
9567  6414  9270  0     0     297   295   297   
9569  6276  8953  0     0     616   0     616   
9570  1490  7646  0     0     1924  1922  1924  
9573  552   2020  45    36    7553  7551  7553  
9576  567   2077  165   27    7499  7497  7499  
9579  64    259   281   17    9320  9318  9320  
9586  5421  8264  0     0     1322  1316  1322  
9586  5519  8463  0     0     1123  1016  1123  
9610  5317  9008  0     0     602   579   602   
9612  5352  9169  0     0     443   323   443   
9635  8120  9335  0     0     300   151   300   
9648  5495  8763  0     0     885   848   885   
9656  8082  9332  0     0     324   0     324   
9656  7159  9221  0     0     435   249   435   
9686  339   1241  236   38    8445  8372  8445  
9704  6273  9316  0     0     388   371   388   
9723  11025 9452  0     0     271   184   271   
9728  7210  9213  0     0     515   357   515   
9730  6535  9052  0     0     678   462   678   
9746  471   1712  209   30    8034  7945  8034  
9751  7047  9282  0     0     469   449   469   
9787  9186  9428  0     0     359   319   359   
9806  9069  9304  0     0     502   448   502   
9817  9082  9495  0     0     322   0     322   
9819  6461  9036  0     0     783   0     783   
9824  6352  9492  0     0     332   213   332   
9825  4219  7511  0     0     2314  2312  2314  
9828  482   1757  0     0     8071  8069  8071  
9844  265   939   0     0     8905  8611  8905  
9858  7410  9360  0     0     498   447   498   
9872  9120  9486  0     0     386   0     386   
9911  12025 9636  0     0     275   0     275   
9924  7276  9373  0     0     551   356   551   
9942  8463  9409  0     0     533   516   533   
9948  405   1481  292   8     8467  8350  8467  
9973  8159  9470  0     0     503   0     503   
9977  10082 9657  0     0     320   0     320   
9978  1381  9820  0     0     158   1     158   
9990  7273  9687  0     0     303   287   303   
9996  585   2136  296   15    7860  7709  7860  
10020 10120 9724  0     0     296   149   296   
10030 7352  9705  0     0     325   207   325   
10044 6102  8245  0     0     1799  1797  1799  
10074 7535  9514  0     0     560   0     560   
10093 7024  7339  0     0     2754  2752  2754  
10100 248   870   0     0     9230  9228  9230  
10100 8210  9570  0     0     530   373   530   
10111 494   1793  281   19    8318  8316  8318  
10116 13025 9825  0     0     291   206   291   
10120 8047  9731  0     0     389   370   389   
10135 2381  9821  0     0     314   158   314   
10136 11082 9818  0     0     318   160   318   
10153 9463  9925  0     0     228   212   228   
10160 10186 9747  0     0     413   374   413   
10169 8273  9974  0     0     195   180   195   
10175 9159  9788  0     0     387   203   387   
10184 7063  8361  0     0     1823  1821  1823  
10197 5383  8553  0     0     1644  1642  1644  
10200 201   732   0     0     9468  9466  9468  
10214 10069 9752  0     0     462   409   462   
10215 8276  9729  0     0     486   292   486   
10226 8410  9807  0     0     419   369   419   
10234 8352  9912  0     0     322   205   322   
10248 7566  9291  0     0     957   958   957   
10248 7566  9291  0     0     957   958   957   
10278 6553  9242  0     0     1036  1035  1036  
10282 11120 9873  0     0     409   263   409   
10289 8535  9859  0     0     430   216   430   
10319 14025 10031 0     0     288   204   288   
10327 12082 9978  0     0     349   192   349   
10346 9047  10101 0     0     245   227   245   
10362 10463 10137 0     0     225   210   225   
10371 9210  9943  0     0     428   272   428   
10377 9273  10154 0     0     223   209   223   
10385 436   1593  0     0     8792  8790  8792  
10409 9276  10021 0     0     388   195   388   
10410 10159 9991  0     0     419   236   419   
10424 11069 10161 0     0     263   211   263   
10436 9352  10117 0     0     319   203   319   
10438 3381  9979  0     0     459   304   459   
10448 11186 10121 0     0     327   289   327   
10460 9410  10176 0     0     284   235   284   
10503 9535  10075 0     0     428   215   428   
10520 15025 10235 0     0     285   202   285   
10534 13082 10170 0     0     364   208   364   
10552 10047 10328 0     0     224   207   224   
10567 11463 10347 0     0     220   206   220   
10580 10210 10215 0     0     365   210   365   
10581 10273 10363 0     0     218   205   218   
10584 12120 10136 0     0     448   303   448   
10632 12069 10372 0     0     260   209   260   
10636 10352 10320 0     0     316   201   316   
10641 10276 10216 0     0     425   233   425   
10643 11159 10227 0     0     416   234   416   
10679 12186 10410 0     0     269   232   269   
10692 10410 10411 0     0     281   233   281   
10716 10535 10290 0     0     426   214   426   
10719 16025 10437 0     0     282   200   282   
10737 14082 10378 0     0     359   204   359   
10739 4381  10283 0     0     456   302   456   
10754 11047 10535 0     0     219   203   219   
10768 12463 10553 0     0     215   202   215   
10781 11273 10568 0     0     213   201   213   
10787 11210 10425 0     0     362   208   362   
10802 9058  8996  0     0     1806  1804  1806  
10813 319   1147  225   23    9666  9664  9666  
10834 11352 10521 0     0     313   199   313   
10838 13069 10581 0     0     257   207   257   
10849 6252  9147  0     0     1702  1700  1702  
10862 7461  9541  0     0     1321  1319  1321  
10871 11276 10449 0     0     422   231   422   
10874 12159 10461 0     0     413   232   413   
10884 13120 10439 0     0     445   301   445   
10908 13186 10642 0     0     266   230   266   
10916 17025 10637 0     0     279   198   279   
10920 4144  6573  0     0     4347  4346  4347  
10922 11410 10644 0     0     278   231   278   
10928 11535 10504 0     0     424   213   424   
10936 15082 10582 0     0     354   200   354   
10952 12047 10738 0     0     214   199   214   
10965 13463 10755 0     0     210   198   210   
10977 12273 10769 0     0     208   197   208   
10992 12210 10633 0     0     359   206   359   
11030 12352 10720 0     0     310   197   310   
11038 5381  10585 0     0     453   300   453   
11042 14069 10788 0     0     254   205   254   
11099 12276 10680 0     0     419   229   419   
11103 13159 10693 0     0     410   230   410   
11111 18025 10835 0     0     276   196   276   
11131 16082 10782 0     0     349   196   349   
11135 14186 10872 0     0     263   228   263   
11139 12535 10717 0     0     422   212   422   
11146 13047 10937 0     0     209   195   209   
11150 12410 10875 0     0     275   229   275   
11158 14463 10953 0     0     205   194   205   
11169 13273 10966 0     0     203   193   203   
11182 14120 10740 0     0     442   299   442   
11195 13210 10839 0     0     356   204   356   
11224 13352 10917 0     0     307   195   307   
11244 15069 10993 0     0     251   203   251   
11304 19025 11031 0     0     273   194   273   
11322 17082 10978 0     0     344   192   344   
11325 13276 10909 0     0     416   227   416   
11330 14159 10923 0     0     407   228   407   
11335 6381  10885 0     0     450   298   450   
11336 14047 11132 0     0     204   191   204   
11347 15463 11147 0     0     200   190   200   
11349 13535 10929 0     0     420   211   420   
11357 14273 11159 0     0     198   189   198   
11360 15186 11100 0     0     260   226   260   
11376 13410 11104 0     0     272   227   272   
11396 14210 11043 0     0     353   202   353   
11416 14352 11112 0     0     304   193   304   
11444 16069 11196 0     0     248   201   248   
11478 15120 11039 0     0     439   297   439   
11495 20025 11225 0     0     270   192   270   
11509 18082 11170 0     0     339   188   339   
11522 15047 11323 0     0     199   187   199   
11549 14276 11136 0     0     413   225   413   
11555 15159 11151 0     0     404   226   404   
11556 16186 11326 0     0     230   197   230   
11558 14535 11140 0     0     418   210   418   
11559 16463 11337 0     0     222   213   222   
11595 15210 11245 0     0     350   200   350   
11600 14410 11331 0     0     269   225   269   
11606 15352 11305 0     0     301   191   301   
11615 15273 11348 0     0     267   259   267   
11630 7381  11183 0     0     447   296   447   
11642 17069 11397 0     0     245   199   245   
11693 21025 11417 0     0     276   199   276   
11707 19082 11358 0     0     349   199   349   
11719 16047 11510 0     0     209   198   209   
11747 15276 11361 0     0     386   199   386   
11752 17186 11523 0     0     229   197   229   
11756 17463 11550 0     0     206   198   206   
11766 15535 11350 0     0     416   209   416   
11772 16120 11336 0     0     436   295   436   
11778 16159 11377 0     0     401   224   401   
11792 16210 11445 0     0     347   198   347   
11803 16352 11496 0     0     307   198   307   
11811 16273 11607 0     0     204   197   204   
11822 15410 11556 0     0     266   223   266   
11838 18069 11596 0     0     242   197   242   
11888 22025 11616 0     0     272   196   272   
11902 20082 11557 0     0     345   196   345   
11913 17047 11708 0     0     205   195   205   
11923 8381  11479 0     0     444   294   444   
11943 16276 11560 0     0     383   197   383   
11945 18186 11720 0     0     225   194   225   
11951 18463 11748 0     0     203   196   203   
11973 16535 11559 0     0     414   208   414   
11987 17210 11643 0     0     344   196   344   
11997 17352 11694 0     0     303   195   303   
11999 17159 11601 0     0     398   222   398   
12004 17273 11804 0     0     200   194   200   
12032 19069 11793 0     0     239   195   239   
12042 16410 11779 0     0     263   221   263   
12064 17120 11631 0     0     433   293   433   
12080 23025 11812 0     0     268   193   268   
12094 21082 11753 0     0     341   193   341   
12104 18047 11903 0     0     201   192   201   
12135 19186 11914 0     0     221   191   221   
12137 17276 11757 0     0     380   195   380   
12144 19463 11944 0     0     200   194   200   
12179 17535 11767 0     0     412   207   412   
12180 18210 11839 0     0     341   194   341   
12188 18352 11889 0     0     299   192   299   
12194 18273 11998 0     0     196   191   196   
12214 9381  11773 0     0     441   292   441   
12218 18159 11823 0     0     395   220   395   
12224 20069 11988 0     0     236   193   236   
12260 17410 12000 0     0     260   219   260   
12269 24025 12005 0     0     264   190   264   
12283 22082 11946 0     0     337   190   337   
12292 19047 12095 0     0     197   189   197   
12322 20186 12105 0     0     217   188   217   
12329 18276 11952 0     0     377   193   377   
12335 20463 12138 0     0     197   192   197   
12354 18120 11924 0     0     430   291   430   
12371 19210 12033 0     0     338   192   338   
12376 19352 12081 0     0     295   189   295   
12381 19273 12189 0     0     192   188   192   
12384 18535 11974 0     0     410   206   410   
12414 21069 12181 0     0     233   191   233   
12435 19159 12043 0     0     392   218   392   
12455 25025 12195 0     0     260   187   260   
12469 23082 12136 0     0     333   187   333   
12476 18410 12219 0     0     257   217   257   
12477 20047 12284 0     0     193   186   193   
12503 10381 12065 0     0     438   290   438   
12506 21186 12293 0     0     213   185   213   
12519 19276 12145 0     0     374   191   374   
12560 20210 12225 0     0     335   190   335   
12561 20352 12270 0     0     291   186   291   
12565 20273 12377 0     0     188   185   188   
12588 19535 12180 0     0     408   205   408   
12602 22069 12372 0     0     230   189   230   
12638 26025 12382 0     0     256   184   256   
12642 19120 12215 0     0     427   289   427   
12650 20159 12261 0     0     389   216   389   
12652 24082 12323 0     0     329   184   329   
12657 21463 12330 0     0     327   323   327   
12664 21047 12470 0     0     194   188   194   
12690 19410 12436 0     0     254   215   254   
12692 22186 12478 0     0     214   187   214   
12702 20276 12336 0     0     366   184   366   
12743 21352 12456 0     0     287   183   287   
12746 21273 12562 0     0     184   182   184   
12747 21210 12415 0     0     332   188   332   
12788 23069 12561 0     0     227   187   227   
12790 11381 12355 0     0     435   288   435   
12791 20535 12385 0     0     406   204   406   
12818 27025 12566 0     0     252   181   252   
12837 25082 12507 0     0     330   186   330   
12843 22047 12658 0     0     185   180   185   
12863 21159 12477 0     0     386   214   386   
12870 23186 12665 0     0     205   179   205   
12884 21276 12520 0     0     364   183   364   
12902 20410 12651 0     0     251   213   251   
12922 22352 12639 0     0     283   180   283   
12926 22463 12653 0     0     273   270   273   
12928 20120 12504 0     0     424   287   424   
12932 22210 12603 0     0     329   186   329   
12972 24069 12748 0     0     224   185   224   
12993 21535 12589 0     0     404   203   404   
12997 28025 12747 0     0     250   180   250   
13014 26082 12693 0     0     321   178   321   
13016 22273 12744 0     0     272   271   272   
13021 23047 12838 0     0     183   179   183   
13047 24186 12844 0     0     203   178   203   
13065 22276 12703 0     0     362   182   362   
13074 22159 12691 0     0     383   212   383   
13075 12381 12643 0     0     432   286   432   
13100 23352 12819 0     0     281   179   281   
13103 23463 12923 0     0     180   178   180   
13112 21410 12864 0     0     248   211   248   
13115 23210 12789 0     0     326   184   326   
13154 25069 12933 0     0     221   183   221   
13173 29025 12927 0     0     246   177   246   
13190 27082 12871 0     0     319   177   319   
13191 23273 13015 0     0     176   176   176   
13194 22535 12792 0     0     402   202   402   
13195 24047 13017 0     0     178   175   178   
13212 21120 12791 0     0     421   285   421   
13220 25186 13022 0     0     198   174   198   
13245 23276 12885 0     0     360   181   360   
13275 24352 12998 0     0     277   176   277   
13283 23159 12903 0     0     380   210   380   
13296 24210 12973 0     0     323   182   323   
13320 22410 13075 0     0     245   209   245   
13334 26069 13116 0     0     218   181   218   
13344 30025 13104 0     0     240   172   240   
13358 13381 12929 0     0     429   284   429   
13362 28082 13048 0     0     314   173   314   
13364 24463 13101 0     0     263   262   263   
13367 25047 13192 0     0     175   173   175   
13391 26186 13196 0     0     195   172   195   
13394 23535 12994 0     0     400   201   400   
13424 24276 13066 0     0     358   180   358   
13445 25352 13174 0     0     271   171   271   
0     24273 13191 0     0     0     255   0     
13475 25210 13155 0     0     320   180   320   
13490 24159 13113 0     0     377   208   377   
13494 22120 13076 0     0     418   283   418   
13512 27069 13297 0     0     215   179   215   
13514 31025 13276 0     0     238   171   238   
13532 29082 13221 0     0     311   171   311   
13533 25463 13363 0     0     170   170   170   
13535 26047 13365 0     0     170   169   170   
13550 23410 13284 0     0     266   231   266   
13558 27186 13368 0     0     190   168   190   
13593 24535 13195 0     0     398   200   398   
13602 25276 13246 0     0     356   179   356   
13639 14381 13213 0     0     426   282   426   
13650 26352 13345 0     0     305   206   305   
13652 26210 13335 0     0     317   178   317   
13659 25159 13321 0     0     338   170   338   
13688 28069 13476 0     0     212   177   212   
13698 30082 13392 0     0     306   167   306   
13717 32025 13447 0     0     270   204   270   
0     26463 13533 0     0     0     185   0     
13719 27047 13534 0     0     185   185   185   
13733 24410 13515 0     0     218   184   218   
13741 28186 13536 0     0     205   184   205   
13774 23120 13359 0     0     415   281   415   
13779 26276 13425 0     0     354   178   354   
13791 25535 13395 0     0     396   199   396   
13827 27210 13513 0     0     314   176   314   
13827 26159 13491 0     0     336   169   336   
13840 27352 13551 0     0     289   191   289   
13862 29069 13653 0     0     209   175   209   
13872 31082 13559 0     0     313   175   313   
13906 25410 13699 0     0     207   174   207   
13906 33025 13651 0     0     255   190   255   
13918 15381 13495 0     0     423   280   423   
13927 29186 13720 0     0     207   187   207   
13955 27276 13603 0     0     352   177   352   
13988 26535 13594 0     0     394   198   394   
13994 27159 13660 0     0     334   168   334   
0     28047 13719 0     0     0     276   0     
14000 28210 13689 0     0     311   174   311   
14025 28352 13742 0     0     283   186   283   
14034 30069 13828 0     0     206   173   206   
14044 32082 13734 0     0     310   173   310   
14052 24120 13640 0     0     412   279   412   
14077 26410 13873 0     0     204   172   204   
14090 34025 13841 0     0     249   185   249   
14110 30186 13907 0     0     203   184   203   
14130 28276 13780 0     0     350   176   350   
14161 28159 13828 0     0     333   168   333   
14171 29210 13863 0     0     308   172   308   
14184 27535 13792 0     0     392   197   392   
14195 16381 13775 0     0     420   278   420   
14204 31069 14001 0     0     203   171   203   
14207 29352 13928 0     0     279   183   279   
14214 33082 13907 0     0     307   171   307   
14246 27410 14045 0     0     201   170   201   
14271 35025 14026 0     0     245   182   245   
14290 31186 14091 0     0     199   181   199   
14304 29276 13956 0     0     348   175   348   
14326 29159 13996 0     0     330   166   330   
14328 25120 13919 0     0     409   277   409   
14340 30210 14035 0     0     305   170   305   
14372 32069 14172 0     0     200   169   200   
14379 28535 13989 0     0     390   196   390   
14382 34082 14078 0     0     304   169   304   
14386 30352 14111 0     0     275   180   275   
14413 28410 14215 0     0     198   168   198   
14449 36025 14208 0     0     241   179   241   
14467 32186 14272 0     0     195   178   195   
14470 17381 14053 0     0     417   276   417   
14477 30276 14131 0     0     346   174   346   
14490 30159 14162 0     0     328   165   328   
14507 31210 14205 0     0     302   168   302   
14538 33069 14341 0     0     197   167   197   
14548 35082 14247 0     0     301   167   301   
14562 31352 14291 0     0     271   177   271   
14573 29535 14185 0     0     388   195   388   
14578 29410 14383 0     0     195   166   195   
14602 26120 14196 0     0     406   275   406   
14624 37025 14387 0     0     237   176   237   
14641 33186 14450 0     0     191   175   191   
14649 31276 14305 0     0     344   173   344   
14653 31159 14327 0     0     326   164   326   
14672 32210 14373 0     0     299   166   299   
14702 34069 14508 0     0     194   165   194   
14712 36082 14414 0     0     298   165   298   
14735 32352 14468 0     0     267   174   267   
14741 30410 14549 0     0     192   164   192   
14743 18381 14329 0     0     414   274   414   
14766 30535 14380 0     0     386   194   386   
14796 38025 14563 0     0     233   173   233   
14812 34186 14625 0     0     187   172   187   
14815 32159 14491 0     0     324   163   324   
14820 32276 14478 0     0     342   172   342   
14835 33210 14539 0     0     296   164   296   
14864 35069 14673 0     0     191   163   191   
14874 27120 14471 0     0     403   273   403   
14874 37082 14579 0     0     295   163   295   
14902 31410 14713 0     0     189   162   189   
14905 33352 14642 0     0     263   171   263   
14958 31535 14574 0     0     384   193   384   
14965 39025 14736 0     0     229   170   229   
14976 33159 14654 0     0     322   162   322   
14980 35186 14797 0     0     183   169   183   
14990 33276 14650 0     0     340   171   340   
14996 34210 14703 0     0     293   162   293   
15014 19381 14603 0     0     411   272   411   
15024 36069 14836 0     0     188   161   188   
15034 38082 14742 0     0     292   161   292   
15061 32410 14875 0     0     186   160   186   
15072 34352 14813 0     0     259   168   259   
15131 40025 14906 0     0     225   167   225   
15136 34159 14816 0     0     320   161   320   
15144 28120 14744 0     0     400   271   400   
15145 36186 14966 0     0     179   166   179   
15149 32535 14767 0     0     382   192   382   
15155 35210 14865 0     0     290   160   290   
15159 34276 14821 0     0     338   170   338   
15182 37069 14997 0     0     185   159   185   
15192 39082 14903 0     0     289   159   289   
15218 33410 15035 0     0     183   158   183   
15236 35352 14981 0     0     255   165   255   
15283 20381 14875 0     0     408   270   408   
15294 41025 15073 0     0     221   164   221   
15295 35159 14977 0     0     318   160   318   
15307 37186 15132 0     0     175   163   175   
15312 36210 15025 0     0     287   158   287   
15327 35276 14991 0     0     336   169   336   
15338 38069 15156 0     0     182   157   182   
15339 33535 14959 0     0     380   191   380   
15348 40082 15062 0     0     286   157   286   
15373 34410 15193 0     0     180   156   180   
15397 36352 15146 0     0     251   162   251   
15412 29120 15015 0     0     397   269   397   
15453 36159 15137 0     0     316   159   316   
15454 42025 15237 0     0     217   161   217   
15466 38186 15295 0     0     171   160   171   
15467 37210 15183 0     0     284   156   284   
15492 39069 15313 0     0     179   155   179   
15494 36276 15160 0     0     334   168   334   
15502 41082 15219 0     0     283   155   283   
15526 35410 15349 0     0     177   154   177   
15528 34535 15150 0     0     378   190   378   
15550 21381 15145 0     0     405   268   405   
15555 37352 15308 0     0     247   159   247   
15610 37159 15296 0     0     314   158   314   
15611 43025 15398 0     0     213   158   213   
15620 38210 15339 0     0     281   154   281   
15622 39186 15455 0     0     167   157   167   
15644 40069 15468 0     0     176   153   176   
15654 42082 15374 0     0     280   153   280   
15660 37276 15328 0     0     332   167   332   
15677 36410 15503 0     0     174   152   174   
15678 30120 15284 0     0     394   267   394   
15710 38352 15467 0     0     243   156   243   
15716 35535 15340 0     0     376   189   376   
15765 44025 15556 0     0     209   155   209   
15766 38159 15454 0     0     312   157   312   
15771 39210 15493 0     0     278   152   278   
15775 40186 15612 0     0     163   154   163   
15794 41069 15621 0     0     173   151   173   
15804 43082 15527 0     0     277   151   277   
15815 22381 15413 0     0     402   266   402   
15825 38276 15495 0     0     330   166   330   
15826 37410 15655 0     0     171   150   171   
15862 39352 15623 0     0     239   153   239   
15903 36535 15529 0     0     374   188   374   
15916 45025 15711 0     0     205   152   205   
15920 40210 15645 0     0     275   150   275   
15921 39159 15611 0     0     310   156   310   
15925 41186 15766 0     0     159   151   159   
15942 31120 15551 0     0     391   265   391   
15942 42069 15772 0     0     170   149   170   
15952 44082 15678 0     0     274   149   274   
15973 38410 15805 0     0     168   148   168   
15989 39276 15661 0     0     328   165   328   
16011 40352 15776 0     0     235   150   235   
16064 46025 15863 0     0     201   149   201   
16067 41210 15795 0     0     272   148   272   
16072 42186 15917 0     0     155   148   155   
16075 40159 15767 0     0     308   155   308   
16078 23381 15679 0     0     399   264   399   
16088 43069 15921 0     0     167   147   167   
16089 37535 15717 0     0     372   187   372   
16098 45082 15827 0     0     271   147   271   
16118 39410 15953 0     0     165   146   165   
16152 40276 15826 0     0     326   164   326   
16157 41352 15926 0     0     231   147   231   
16204 32120 15816 0     0     388   263   388   
16209 47025 16012 0     0     197   146   197   
16212 42210 15943 0     0     269   146   269   
16216 43186 16065 0     0     151   145   151   
16228 41159 15922 0     0     306   154   306   
16232 44069 16068 0     0     164   145   164   
16242 46082 15974 0     0     268   145   268   
16261 40410 16099 0     0     162   144   162   
16274 38535 15904 0     0     370   186   370   
16300 42352 16073 0     0     227   144   227   
16314 41276 15990 0     0     324   163   324   
16339 24381 15943 0     0     396   262   396   
16351 48025 16158 0     0     193   143   193   
16355 43210 16089 0     0     266   144   266   
16357 44186 16210 0     0     147   142   147   
16374 45069 16213 0     0     161   143   161   
16380 42159 16076 0     0     304   153   304   
16384 47082 16119 0     0     265   143   265   
16402 41410 16243 0     0     159   142   159   
16440 43352 16217 0     0     223   141   223   
16458 39535 16090 0     0     368   185   368   
16464 33120 16079 0     0     385   261   385   
16475 42276 16153 0     0     322   162   322   
16490 49025 16301 0     0     189   140   189   
16495 45186 16352 0     0     143   139   143   
16496 44210 16233 0     0     263   142   263   
16514 46069 16356 0     0     158   141   158   
